rebalance_date,fund_id,fund_name,asset_family,method,asset,asset_class,sector,pretrade_weight,target_weight,is_latest_rebalance
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,ABBV,Equity,Healthcare,0,0.02,False
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,ABT,Equity,Healthcare,0,0.02,False
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,ADBE,Equity,Tech,0,0.02,False
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,AEP,Equity,Utilities,0,0.02,False
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,AMD,Equity,Tech,0,0.02,False
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,AMGN,Equity,Healthcare,0,0.02,False
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,AMT,Equity,RealEstate,0,0.02,False
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,BA,Equity,Industrials,0,0.02,False
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,CAT,Equity,Industrials,0,0.02,False
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,CCI,Equity,RealEstate,0,0.02,False
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,CMCSA,Equity,Comm,0,0.02,False
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,COP,Equity,Energy,0,0.02,False
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,CVX,Equity,Energy,0,0.02,False
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,D,Equity,Utilities,0,0.02,False
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,DD,Equity,Materials,0,0.02,False
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,DIS,Equity,Consumer,0,0.02,False
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,DOW,Equity,Materials,0,0.02,False
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,DUK,Equity,Utilities,0,0.02,False
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,EA,Equity,Comm,0,0.02,False
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,GE,Equity,Industrials,0,0.02,False
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,GILD,Equity,Healthcare,0,0.02,False
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,GS,Equity,Financials,0,0.02,False
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,INTC,Equity,Tech,0,0.02,False
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,KO,Equity,Consumer,0,0.02,False
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,MMM,Equity,Industrials,0,0.02,False
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,MRK,Equity,Healthcare,0,0.02,False
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,MS,Equity,Financials,0,0.02,False
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,NEE,Equity,Utilities,0,0.02,False
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,NEM,Equity,Materials,0,0.02,False
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,NKE,Equity,Consumer,0,0.02,False
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,NUE,Equity,Materials,0,0.02,False
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,NVDA,Equity,Tech,0,0.02,False
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,O,Equity,RealEstate,0,0.02,False
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,OXY,Equity,Energy,0,0.02,False
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,PLD,Equity,RealEstate,0,0.02,False
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,PSA,Equity,RealEstate,0,0.02,False
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,QCOM,Equity,Tech,0,0.02,False
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,SBUX,Equity,Consumer,0,0.02,False
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,SHW,Equity,Materials,0,0.02,False
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,SLB,Equity,Energy,0,0.02,False
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,SO,Equity,Utilities,0,0.02,False
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,T,Equity,Comm,0,0.02,False
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,TMUS,Equity,Comm,0,0.02,False
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,TTWO,Equity,Comm,0,0.02,False
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,UPS,Equity,Industrials,0,0.02,False
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,USB,Equity,Financials,0,0.02,False
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,V,Equity,Financials,0,0.02,False
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,WFC,Equity,Financials,0,0.02,False
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,WMT,Equity,Consumer,0,0.02,False
2021-01-04,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,XOM,Equity,Energy,0,0.02,False
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,ABBV,Equity,Healthcare,0.0195554081068,0.02,False
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,ABT,Equity,Healthcare,0.0229047184098,0.02,False
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,ADBE,Equity,Tech,0.0185391876117,0.02,False
2021-02-01,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,AEP,Equity,Utilities,0.0196373759095,0.02,False
