month,sector,article_count,covered_tickers,hhi,breadth
2020-01,Comm,269,5,0.283785464546,0.704757730704
2020-01,Consumer,578,5,0.268237928186,0.745606713237
2020-01,Energy,393,5,0.237767806849,0.841156768238
2020-01,Financials,331,5,0.221310502825,0.903707675176
2020-01,Healthcare,309,5,0.219027869419,0.913125806914
2020-01,Industrials,294,5,0.246239992596,0.812215748919
2020-01,Materials,191,5,0.243222499383,0.822292347571
2020-01,RealEstate,91,5,0.266755222799,0.74975101856
2020-01,Tech,538,5,0.317180525421,0.630555737098
2020-01,Utilities,211,5,0.273556299274,0.731110928648
2020-02,Comm,267,5,0.227566665264,0.878863342169
2020-02,Consumer,606,5,0.313907133288,0.637131109145
2020-02,Energy,341,5,0.224000481592,0.89285522325
2020-02,Financials,245,5,0.219458558934,0.91133378881
2020-02,Healthcare,477,5,0.362340624712,0.551966813435
2020-02,Industrials,210,5,0.226802721088,0.881823635273
2020-02,Materials,210,5,0.26462585034,0.755784061697
2020-02,RealEstate,205,5,0.244069006544,0.819440382178
2020-02,Tech,423,5,0.233148343756,0.857822949877
2020-02,Utilities,308,5,0.245720188902,0.813933933934
2020-03,Comm,304,5,0.266685422438,0.749947253104
2020-03,Consumer,777,5,0.245432967441,0.814886451831
2020-03,Energy,592,5,0.260757167641,0.76699713304
2020-03,Financials,337,5,0.22961371501,0.871028109062
2020-03,Healthcare,500,5,0.366616,0.545529927772
2020-03,Industrials,357,5,0.254431184238,0.78606716625
2020-03,Materials,220,5,0.259462809917,0.770823379519
2020-03,RealEstate,152,5,0.253289473684,0.78961038961
2020-03,Tech,425,5,0.226685121107,0.882281108804
2020-03,Utilities,240,5,0.249756944444,0.800778534687
2020-04,Comm,388,5,0.26992772877,0.740939068806
2020-04,Consumer,975,5,0.288415516108,0.693443968268
2020-04,Energy,818,5,0.226119523437,0.884487977687
2020-04,Financials,612,5,0.245808236148,0.813642386983
2020-04,Healthcare,928,5,0.440231123662,0.454306815784
2020-04,Industrials,698,5,0.238405267609,0.838907638267
2020-04,Materials,303,5,0.25002995349,0.799904160314
2020-04,RealEstate,194,5,0.246838133702,0.810247578041
2020-04,Tech,510,5,0.266066897347,0.751690653719
2020-04,Utilities,255,5,0.247335640138,0.808617795187
2020-05,Comm,384,5,0.228190104167,0.876462196862
2020-05,Consumer,822,5,0.325752866725,0.613962363588
2020-05,Energy,522,5,0.233958691153,0.854851764706
2020-05,Financials,453,5,0.20700359146,0.966166811836
2020-05,Healthcare,708,5,0.307622330748,0.650147859922
2020-05,Industrials,407,5,0.337164727828,0.593181858875
2020-05,Materials,275,5,0.291371900826,0.686407987293
2020-05,RealEstate,143,5,0.245733287691,0.813890547264
2020-05,Tech,437,5,0.214710240929,0.931487939907
2020-05,Utilities,229,5,0.240403501077,0.831934639486
2020-06,Comm,270,5,0.291659807956,0.685730411062
2020-06,Consumer,649,5,0.237608647653,0.841720206633
2020-06,Energy,346,5,0.26440910154,0.756403614077
2020-06,Financials,361,5,0.219435087208,0.911431269014
2020-06,Healthcare,367,5,0.322676684807,0.61981546674
2020-06,Industrials,403,5,0.422630519245,0.473226591296
2020-06,Materials,77,5,0.275763197841,0.725259938838
2020-06,RealEstate,59,5,0.250215455329,0.799311136625
2020-06,Tech,241,5,0.243539195262,0.821223047013
2020-06,Utilities,76,5,0.282894736842,0.706976744186
2020-07,Comm,203,5,0.296707030018,0.674065592541
2020-07,Consumer,574,5,0.233455547597,0.856694141813
2020-07,Energy,294,5,0.271576657874,0.736440316946
2020-07,Financials,365,5,0.263531619441,0.758922213677
2020-07,Healthcare,295,5,0.257638609595,0.776281164979
2020-07,Industrials,336,5,0.301427862812,0.663508668822
2020-07,Materials,74,5,0.237764791819,0.841167434716
2020-07,RealEstate,54,5,0.243484224966,0.821408450704
2020-07,Tech,347,4,0.31561594233,0.633681551456
2020-07,Utilities,135,5,0.31182441701,0.641386591589
2020-08,Comm,213,5,0.259891115079,0.769553048936
2020-08,Consumer,535,5,0.300864704341,0.664750624165
2020-08,Energy,263,5,0.320765082624,0.623509262181
2020-08,Financials,242,5,0.239669421488,0.834482758621
2020-08,Healthcare,233,5,0.225736337011,0.885989392085
2020-08,Industrials,256,5,0.284027099609,0.704158160524
2020-08,Materials,57,5,0.274238227147,0.729292929293
2020-08,RealEstate,54,5,0.272976680384,0.732663316583
2020-08,Tech,259,4,0.307016890028,0.651429958728
2020-08,Utilities,86,5,0.259870200108,0.769614984391
2020-09,Comm,148,5,0.357468955442,0.559489144317
2020-09,Consumer,507,5,0.280923092484,0.711938624309
2020-09,Energy,173,5,0.286645059975,0.69772700781
2020-09,Financials,225,5,0.248869135802,0.803635209144
2020-09,Healthcare,232,5,0.225141200951,0.888331407823
2020-09,Industrials,272,5,0.316663062284,0.631586136247
2020-09,Materials,49,5,0.284464806331,0.703074670571
2020-09,RealEstate,34,5,0.285467128028,0.700606060606
2020-09,Tech,212,4,0.253737985048,0.788214661522
2020-09,Utilities,76,5,0.412396121884,0.48497061293
2020-10,Comm,223,5,0.349433931911,0.57235426138
2020-10,Consumer,455,5,0.25456345852,0.785658716153
2020-10,Energy,297,5,0.232617986827,0.859778741654
2020-10,Financials,388,5,0.249362312679,0.802045817794
2020-10,Healthcare,302,5,0.272575764221,0.733740949316
2020-10,Industrials,353,5,0.296663964882,0.674163443071
2020-10,Materials,59,5,0.241597242172,0.827824019025
2020-10,RealEstate,25,5,0.232,0.862068965517
2020-10,Tech,261,4,0.365599448041,0.547046777755
2020-10,Utilities,79,5,0.356192917802,0.561493477283
2020-11,Comm,266,5,0.242438803776,0.824950448875
2020-11,Consumer,475,5,0.287109141274,0.696599206533
2020-11,Energy,237,5,0.293880966369,0.680547646453
2020-11,Financials,301,5,0.252017085904,0.793596986817
2020-11,Healthcare,199,5,0.217140981288,0.921060588441
2020-11,Industrials,330,5,0.323764921947,0.617732145896
2020-11,Materials,51,5,0.227220299885,0.880203045685
2020-11,RealEstate,34,5,0.257785467128,0.775838926174
2020-11,Tech,208,4,0.283284023669,0.706005221932
2020-11,Utilities,87,5,0.364777381424,0.548279608837
2020-12,Comm,212,5,0.445042719829,0.449395060494
2020-12,Consumer,516,5,0.256985758067,0.778253244476
2020-12,Energy,265,5,0.288202207191,0.693957211325
2020-12,Financials,281,5,0.240409822571,0.831912764052
2020-12,Healthcare,183,5,0.216160530323,0.925238292582
2020-12,Industrials,351,5,0.339404712624,0.589267009446
2020-12,Materials,47,5,0.263920325939,0.757804459691
2020-12,RealEstate,56,5,0.220025510204,0.908985507246
2020-12,Tech,249,4,0.288721149659,0.692709904475
2020-12,Utilities,51,5,0.377931564783,0.529196337742
2021-01,Comm,231,5,0.336106894548,0.595048787287
2021-01,Consumer,407,5,0.25132056336,0.79579640172
