fund_id,fund_name,asset_family,method,first_live_date,end_date,annualised_return_net,annualised_volatility_net,Sharpe_net,maximum_drawdown_net,average_rebalance_turnover,total_transaction_cost,current_number_of_holdings,largest_current_weight
equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,2021-01-04,2023-12-29,0.126064455741,0.161171384584,0.817346286309,-0.202639684483,0.0264826351926,0.000953374866933,50,0.02
equity_minimum_variance,Equity Minimum Variance,Equity,Minimum Variance,2021-01-04,2023-12-29,0.0705333377969,0.127251188664,0.599259399213,-0.178386492449,0.0300120517968,0.00108043386469,12,0.198196109016
equity_risk_parity,Equity Risk Parity,Equity,Risk Parity,2021-01-04,2023-12-29,0.100375803228,0.149266040078,0.715494179904,-0.194096176077,0.0250598192454,0.000902153492835,50,0.0364459100404
crypto_equal_weight,Crypto Equal Weight,Crypto,Equal Weight,2021-01-01,2023-12-31,0.404072232197,0.818896354879,0.82795215434,-0.815890706489,0.0578414745991,0.00208229308557,10,0.1
crypto_minimum_variance,Crypto Minimum Variance,Crypto,Minimum Variance,2021-01-01,2023-12-31,0.492516788076,0.761244734308,0.910961569577,-0.735493155036,0.0675291447805,0.0024310492121,8,0.2
crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity,2021-01-01,2023-12-31,0.416908941993,0.802592927891,0.839685936023,-0.804899596146,0.0583173812258,0.00209942572413,10,0.143184012623
combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,2021-01-04,2023-12-29,0.150832534668,0.215994483613,0.758736334213,-0.279030482495,0.0375013330302,0.00135004798909,60,0.0166666666667
combined_minimum_variance,Combined Minimum Variance,Combined,Minimum Variance,2021-01-04,2023-12-29,0.0704722826395,0.127249836094,0.598816177141,-0.178436447967,0.0299804661319,0.00107929678075,12,0.198439162381
combined_risk_parity,Combined Risk Parity,Combined,Risk Parity,2021-01-04,2023-12-29,0.127463149494,0.174383112159,0.775337178581,-0.22400463039,0.0314889080906,0.00113360069126,60,0.0324463298865
equity_sentiment_naive,Equity Naive Sentiment Tilt,Equity,Naive Sentiment Tilt,2021-01-04,2023-12-29,0.116501534593,0.159654322609,0.770161834016,-0.201340175758,0.0546988597772,0.00196915895198,50,0.0260254625712
equity_sentiment_coverage_gated,Equity Coverage-Gated Sentiment Tilt,Equity,Coverage-Gated Sentiment Tilt,2021-01-04,2023-12-29,0.119124403241,0.159964874382,0.783647524388,-0.201392881569,0.0473798115841,0.00170567321703,50,0.0245942986061
