rebalance_date,fund_id,fund_name,asset_family,method,asset,asset_class,sector,pretrade_weight,target_weight,is_latest_rebalance
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,CR_ADA-USD,Crypto,,0.0179115608776,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,CR_BCH-USD,Crypto,,0.0139976913643,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,CR_BTC-USD,Crypto,,0.0166099196481,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,CR_EOS-USD,Crypto,,0.014848196474,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,CR_ETC-USD,Crypto,,0.0163516172364,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,CR_ETH-USD,Crypto,,0.0169103717095,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,CR_LTC-USD,Crypto,,0.0146650489808,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,CR_TRX-USD,Crypto,,0.0154347078438,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,CR_XLM-USD,Crypto,,0.0141588085911,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,CR_XRP-USD,Crypto,,0.0140760237985,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,EQ_ABBV,Equity,Healthcare,0.015604749619,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,EQ_ABT,Equity,Healthcare,0.0170659934428,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,EQ_ADBE,Equity,Tech,0.0177679844473,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,EQ_AEP,Equity,Utilities,0.016479033333,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,EQ_AMD,Equity,Tech,0.0190315208791,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,EQ_AMGN,Equity,Healthcare,0.0164439207098,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,EQ_AMT,Equity,RealEstate,0.0181282586327,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,EQ_BA,Equity,Industrials,0.019183236456,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,EQ_CAT,Equity,Industrials,0.017160697329,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,EQ_CCI,Equity,RealEstate,0.019515732927,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,EQ_CMCSA,Equity,Comm,0.0156969729677,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,EQ_COP,Equity,Energy,0.0151273686767,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,EQ_CVX,Equity,Energy,0.0154058163445,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,EQ_D,Equity,Utilities,0.0176508007264,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,EQ_DD,Equity,Materials,0.015264748837,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,EQ_DIS,Equity,Consumer,0.0175770689315,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,EQ_DOW,Equity,Materials,0.0167909673361,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,EQ_DUK,Equity,Utilities,0.0162480585635,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,EQ_EA,Equity,Comm,0.0172733896023,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,EQ_GE,Equity,Industrials,0.0173479424353,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,EQ_GILD,Equity,Healthcare,0.015089970431,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,EQ_GS,Equity,Financials,0.0175479981053,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,EQ_INTC,Equity,Tech,0.019010378707,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,EQ_KO,Equity,Consumer,0.0161336839916,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,EQ_MMM,Equity,Industrials,0.0171187092764,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,EQ_MRK,Equity,Healthcare,0.0154389980283,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,EQ_MS,Equity,Financials,0.0173335125894,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,EQ_NEE,Equity,Utilities,0.0156542290024,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,EQ_NEM,Equity,Materials,0.0167605345004,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,EQ_NKE,Equity,Consumer,0.0166012735026,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,EQ_NUE,Equity,Materials,0.0177941672113,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,EQ_NVDA,Equity,Tech,0.0177447765434,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,EQ_O,Equity,RealEstate,0.0177053175197,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,EQ_OXY,Equity,Energy,0.0148062951203,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,EQ_PLD,Equity,RealEstate,0.0176497624384,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,EQ_PSA,Equity,RealEstate,0.0167716962711,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,EQ_QCOM,Equity,Tech,0.0184363566385,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,EQ_SBUX,Equity,Consumer,0.0167479003934,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,EQ_SHW,Equity,Materials,0.0181499988756,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,EQ_SLB,Equity,Energy,0.0144658708197,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,EQ_SO,Equity,Utilities,0.0164823601263,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,EQ_T,Equity,Comm,0.0166476231703,0.0166666666667,True
2023-12-01,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,EQ_TMUS,Equity,Comm,0.0162515336444,0.0166666666667,True
