fund_id,fund_name,asset_family,method,rebalance_date,next_rebalance_date,training_start,training_end,training_observations,solver_success,solver_message,objective_value,covariance_regularisation,max_risk_contribution_deviation,weight_sum,minimum_weight,maximum_weight
equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,2021-01-04,2021-02-01,2020-01-03,2020-12-31,252,True,deterministic equal weight,,0,,1,0.02,0.02
equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,2021-02-01,2021-03-01,2020-01-03,2021-01-29,271,True,deterministic equal weight,,0,,1,0.02,0.02
equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,2021-03-01,2021-04-01,2020-01-03,2021-02-26,290,True,deterministic equal weight,,0,,1,0.02,0.02
equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,2021-04-01,2021-05-03,2020-01-03,2021-03-31,313,True,deterministic equal weight,,0,,1,0.02,0.02
equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,2021-05-03,2021-06-01,2020-01-03,2021-04-30,334,True,deterministic equal weight,,0,,1,0.02,0.02
equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,2021-06-01,2021-07-01,2020-01-03,2021-05-28,354,True,deterministic equal weight,,0,,1,0.02,0.02
equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,2021-07-01,2021-08-02,2020-01-03,2021-06-30,376,True,deterministic equal weight,,0,,1,0.02,0.02
equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,2021-08-02,2021-09-01,2020-01-03,2021-07-30,397,True,deterministic equal weight,,0,,1,0.02,0.02
equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,2021-09-01,2021-10-01,2020-01-03,2021-08-31,419,True,deterministic equal weight,,0,,1,0.02,0.02
equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,2021-10-01,2021-11-01,2020-01-03,2021-09-30,440,True,deterministic equal weight,,0,,1,0.02,0.02
equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,2021-11-01,2021-12-01,2020-01-03,2021-10-29,461,True,deterministic equal weight,,0,,1,0.02,0.02
equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,2021-12-01,2022-01-03,2020-01-03,2021-11-30,482,True,deterministic equal weight,,0,,1,0.02,0.02
equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,2022-01-03,2022-02-01,2020-01-03,2021-12-31,504,True,deterministic equal weight,,0,,1,0.02,0.02
equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,2022-02-01,2022-03-01,2020-01-03,2022-01-31,524,True,deterministic equal weight,,0,,1,0.02,0.02
equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,2022-03-01,2022-04-01,2020-01-03,2022-02-28,543,True,deterministic equal weight,,0,,1,0.02,0.02
equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,2022-04-01,2022-05-02,2020-01-03,2022-03-31,566,True,deterministic equal weight,,0,,1,0.02,0.02
equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,2022-05-02,2022-06-01,2020-01-03,2022-04-29,586,True,deterministic equal weight,,0,,1,0.02,0.02
equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,2022-06-01,2022-07-01,2020-01-03,2022-05-31,607,True,deterministic equal weight,,0,,1,0.02,0.02
equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,2022-07-01,2022-08-01,2020-01-03,2022-06-30,628,True,deterministic equal weight,,0,,1,0.02,0.02
equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,2022-08-01,2022-09-01,2020-01-03,2022-07-29,648,True,deterministic equal weight,,0,,1,0.02,0.02
equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,2022-09-01,2022-10-03,2020-01-03,2022-08-31,671,True,deterministic equal weight,,0,,1,0.02,0.02
equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,2022-10-03,2022-11-01,2020-01-03,2022-09-30,692,True,deterministic equal weight,,0,,1,0.02,0.02
equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,2022-11-01,2022-12-01,2020-01-03,2022-10-31,713,True,deterministic equal weight,,0,,1,0.02,0.02
equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,2022-12-01,2023-01-03,2020-01-03,2022-11-30,734,True,deterministic equal weight,,0,,1,0.02,0.02
equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,2023-01-03,2023-02-01,2020-01-03,2022-12-30,755,True,deterministic equal weight,,0,,1,0.02,0.02
equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,2023-02-01,2023-03-01,2020-01-03,2023-01-31,775,True,deterministic equal weight,,0,,1,0.02,0.02
equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,2023-03-01,2023-04-03,2020-01-03,2023-02-28,794,True,deterministic equal weight,,0,,1,0.02,0.02
equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,2023-04-03,2023-05-01,2020-01-03,2023-03-31,817,True,deterministic equal weight,,0,,1,0.02,0.02
equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,2023-05-01,2023-06-01,2020-01-03,2023-04-28,836,True,deterministic equal weight,,0,,1,0.02,0.02
equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,2023-06-01,2023-07-03,2020-01-03,2023-05-31,858,True,deterministic equal weight,,0,,1,0.02,0.02
equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,2023-07-03,2023-08-01,2020-01-03,2023-06-30,879,True,deterministic equal weight,,0,,1,0.02,0.02
equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,2023-08-01,2023-09-01,2020-01-03,2023-07-31,899,True,deterministic equal weight,,0,,1,0.02,0.02
equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,2023-09-01,2023-10-02,2020-01-03,2023-08-31,922,True,deterministic equal weight,,0,,1,0.02,0.02
equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,2023-10-02,2023-11-01,2020-01-03,2023-09-29,942,True,deterministic equal weight,,0,,1,0.02,0.02
equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,2023-11-01,2023-12-01,2020-01-03,2023-10-31,964,True,deterministic equal weight,,0,,1,0.02,0.02
equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,2023-12-01,,2020-01-03,2023-11-30,985,True,deterministic equal weight,,0,,1,0.02,0.02
equity_minimum_variance,Equity Minimum Variance,Equity,Minimum Variance,2021-01-04,2021-02-01,2020-01-03,2020-12-31,252,True,Optimization terminated successfully,0.000233195067925,0,,1,0,0.2
equity_minimum_variance,Equity Minimum Variance,Equity,Minimum Variance,2021-02-01,2021-03-01,2020-01-03,2021-01-29,271,True,Optimization terminated successfully,0.000220726581906,0,,1,0,0.2
equity_minimum_variance,Equity Minimum Variance,Equity,Minimum Variance,2021-03-01,2021-04-01,2020-01-03,2021-02-26,290,True,Optimization terminated successfully,0.000210202326938,0,,1,0,0.2
equity_minimum_variance,Equity Minimum Variance,Equity,Minimum Variance,2021-04-01,2021-05-03,2020-01-03,2021-03-31,313,True,Optimization terminated successfully,0.000199684113265,0,,1,0,0.2
equity_minimum_variance,Equity Minimum Variance,Equity,Minimum Variance,2021-05-03,2021-06-01,2020-01-03,2021-04-30,334,True,Optimization terminated successfully,0.000188996676406,0,,1,0,0.2
equity_minimum_variance,Equity Minimum Variance,Equity,Minimum Variance,2021-06-01,2021-07-01,2020-01-03,2021-05-28,354,True,Optimization terminated successfully,0.00018128283876,0,,1,0,0.2
equity_minimum_variance,Equity Minimum Variance,Equity,Minimum Variance,2021-07-01,2021-08-02,2020-01-03,2021-06-30,376,True,Optimization terminated successfully,0.00017301209339,0,,1,0,0.2
equity_minimum_variance,Equity Minimum Variance,Equity,Minimum Variance,2021-08-02,2021-09-01,2020-01-03,2021-07-30,397,True,Optimization terminated successfully,0.000164931518426,0,,1,0,0.2
equity_minimum_variance,Equity Minimum Variance,Equity,Minimum Variance,2021-09-01,2021-10-01,2020-01-03,2021-08-31,419,True,Optimization terminated successfully,0.000157904667828,0,,1,0,0.2
