fund_id,fund_name,asset_family,method,first_live_date,end_date,number_of_observations,annualisation_factor,risk_free_rate,transaction_cost_rate,cumulative_return_gross,cumulative_return_net,annualised_return_gross,annualised_return_net,annualised_volatility_gross,annualised_volatility_net,Sharpe_gross,Sharpe_net,maximum_drawdown_net,average_rebalance_turnover,total_rebalance_turnover,total_transaction_cost,number_of_rebalances,current_number_of_holdings,largest_current_weight
equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,2021-01-04,2023-12-29,753,252,0,0.001,0.427216814815,0.425856770942,0.126423797818,0.126064455741,0.161179806666,0.161171384584,0.81929236656,0.817346286309,-0.202639684483,0.0264826351926,0.953374866933,0.000953374866933,36,50,0.02
equity_minimum_variance,Equity Minimum Variance,Equity,Minimum Variance,2021-01-04,2023-12-29,753,252,0,0.001,0.227205917866,0.225880694508,0.07092049783,0.0705333377969,0.127256164261,0.127251188664,0.602083012786,0.599259399213,-0.178386492449,0.0300120517968,1.08043386469,0.00108043386469,36,12,0.198196109016
equity_risk_parity,Equity Risk Parity,Equity,Risk Parity,2021-01-04,2023-12-29,753,252,0,0.001,0.332049504016,0.330848316465,0.100708078869,0.100375803228,0.149273284287,0.149266040078,0.717489973536,0.715494179904,-0.194096176077,0.0250598192454,0.902153492835,0.000902153492835,36,50,0.0364459100404
crypto_equal_weight,Crypto Equal Weight,Crypto,Equal Weight,2021-01-01,2023-12-31,1095,365,0,0.001,1.77378451619,1.76801444176,0.405047176337,0.404072232197,0.818903364406,0.818896354879,0.828800283588,0.82795215434,-0.815890706489,0.0578414745991,2.08229308557,0.00208229308557,36,10,0.1
crypto_minimum_variance,Crypto Minimum Variance,Crypto,Minimum Variance,2021-01-01,2023-12-31,1095,365,0,0.001,2.33283284293,2.32473989354,0.493726815108,0.492516788076,0.761254576227,0.761244734308,0.91202489488,0.910961569577,-0.735493155036,0.0675291447805,2.4310492121,0.0024310492121,36,8,0.2
crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity,2021-01-01,2023-12-31,1095,365,0,0.001,1.85060887157,1.84463024513,0.417900897686,0.416908941993,0.802599982745,0.802592927891,0.840558184945,0.839685936023,-0.804899596146,0.0583173812258,2.09942572413,0.00209942572413,36,10,0.143184012623
combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,2021-01-04,2023-12-29,753,252,0,0.001,0.523689200315,0.521633491124,0.151352619552,0.150832534668,0.216003852444,0.215994483613,0.760805551638,0.758736334213,-0.279030482495,0.0375013330302,1.35004798909,0.00135004798909,36,60,0.0166666666667
combined_minimum_variance,Combined Minimum Variance,Combined,Minimum Variance,2021-01-04,2023-12-29,753,252,0,0.001,0.226995395916,0.225671793672,0.0708590130641,0.0704722826395,0.127254818944,0.127249836094,0.601636819324,0.598816177141,-0.178436447967,0.0299804661319,1.07929678075,0.00107929678075,36,12,0.198439162381
combined_risk_parity,Combined Risk Parity,Combined,Risk Parity,2021-01-04,2023-12-29,753,252,0,0.001,0.432778735571,0.431155428352,0.127890966492,0.127463149494,0.174391977047,0.174383112159,0.777482989649,0.775337178581,-0.22400463039,0.0314889080906,1.13360069126,0.00113360069126,36,60,0.0324463298865
equity_sentiment_naive,Equity Naive Sentiment Tilt,Equity,Naive Sentiment Tilt,2021-01-04,2023-12-29,753,252,0,0.001,0.392718805046,0.389978936661,0.117237575247,0.116501534593,0.159664952164,0.159654322609,0.77425037068,0.770161834016,-0.201340175758,0.0546988597772,1.96915895198,0.00196915895198,36,50,0.0260254625712
equity_sentiment_coverage_gated,Equity Coverage-Gated Sentiment Tilt,Equity,Coverage-Gated Sentiment Tilt,2021-01-04,2023-12-29,753,252,0,0.001,0.4021484494,0.399758819181,0.119763423956,0.119124403241,0.159974522645,0.159964874382,0.787179669582,0.783647524388,-0.201392881569,0.0473798115841,1.70567321703,0.00170567321703,36,50,0.0245942986061
