sector,headline_count,ticker_day_count,sector_day_count_with_news,mean_raw_compound,std_raw_compound,positive_sector_day_share,neutral_sector_day_share,negative_sector_day_share,exact_zero_share,average_covered_tickers,average_coverage_share,average_breadth
Comm,11783,3806,997,0.100760446951,0.119383282121,0.671013039117,0.256770310933,0.0722166499498,0.0240722166499,3.78330019881,0.756660039761,0.573110230784
Consumer,25877,4724,998,0.101073061868,0.0807650727275,0.750501002004,0.224448897796,0.0250501002004,0.00100200400802,4.6958250497,0.93916500994,0.696797877597
Energy,19365,4246,996,0.111289423921,0.116692669663,0.721887550201,0.208835341365,0.0692771084337,0.00803212851406,4.22067594433,0.844135188867,0.649679343802
Financials,18269,4401,998,0.0979377884048,0.108652298099,0.672344689379,0.253507014028,0.0741482965932,0.0060120240481,4.37475149105,0.874950298211,0.68939149376
Healthcare,14697,4204,997,0.110050492243,0.119396051947,0.690070210632,0.235707121364,0.074222668004,0.0180541624875,4.17892644135,0.83578528827,0.648349341276
Industrials,13156,3782,998,0.107096667901,0.109689883635,0.696392785571,0.246492985972,0.0571142284569,0.0230460921844,3.75944333996,0.751888667992,0.573678960222
Materials,5393,2672,940,0.0964533428567,0.141211652857,0.590425531915,0.331914893617,0.0776595744681,0.172340425532,2.65606361829,0.531212723658,0.484741570552
RealEstate,5339,2796,940,0.133133433409,0.157711829729,0.677659574468,0.26170212766,0.0606382978723,0.140425531915,2.77932405567,0.555864811133,0.513009394719
Tech,26632,4349,1006,0.119340247569,0.106404011352,0.77435387674,0.181908548708,0.0437375745527,0.00596421471173,4.32306163022,0.864612326044,0.631746334452
Utilities,6319,2982,962,0.184274990115,0.160168199986,0.802494802495,0.155925155925,0.04158004158,0.0613305613306,2.96421471173,0.592842942346,0.518929236701
