date,ticker,sector,title,compound,occurrences
2023-03-10,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-03-13,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-03-14,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-03-16,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-03-17,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-03-20,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-03-21,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-03-23,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-03-24,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-03-27,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-03-28,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-03-30,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-04-03,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-04-04,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-04-06,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-04-10,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-04-10,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-04-11,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-04-17,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-04-20,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-04-21,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-04-24,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-04-25,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-04-28,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-05-01,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-05-02,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-05-04,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-05-09,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-05-11,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-05-12,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-05-15,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-05-16,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-05-18,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-05-19,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-05-22,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-05-24,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-05-25,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-05-26,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-05-30,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-05-30,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-06-05,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-06-05,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-06-08,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-06-12,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-06-12,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-06-13,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-06-15,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-06-20,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-06-22,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-06-26,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-06-29,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-07-03,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-07-06,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-07-10,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-07-13,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-07-17,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-07-20,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-07-24,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-07-27,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-07-31,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-08-03,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-08-07,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-08-10,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-08-14,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-08-17,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-08-24,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-10-12,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-10-16,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-10-19,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-10-23,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-10-26,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-10-30,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-11-02,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-11-06,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-11-09,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-11-13,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-11-16,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-11-20,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-11-24,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-11-30,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-12-04,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-12-07,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-12-11,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-12-13,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-12-18,NVDA,Tech,Guru Fundamental Report for NVDA,0,85
2023-03-10,CVX,Energy,Guru Fundamental Report for CVX,0,69
2023-03-13,CVX,Energy,Guru Fundamental Report for CVX,0,69
2023-03-15,CVX,Energy,Guru Fundamental Report for CVX,0,69
2023-03-17,CVX,Energy,Guru Fundamental Report for CVX,0,69
2023-03-20,CVX,Energy,Guru Fundamental Report for CVX,0,69
2023-03-22,CVX,Energy,Guru Fundamental Report for CVX,0,69
2023-03-24,CVX,Energy,Guru Fundamental Report for CVX,0,69
2023-03-29,CVX,Energy,Guru Fundamental Report for CVX,0,69
2023-03-31,CVX,Energy,Guru Fundamental Report for CVX,0,69
2023-04-03,CVX,Energy,Guru Fundamental Report for CVX,0,69
2023-04-05,CVX,Energy,Guru Fundamental Report for CVX,0,69
2023-04-10,CVX,Energy,Guru Fundamental Report for CVX,0,69
2023-04-10,CVX,Energy,Guru Fundamental Report for CVX,0,69
2023-04-12,CVX,Energy,Guru Fundamental Report for CVX,0,69
2023-04-18,CVX,Energy,Guru Fundamental Report for CVX,0,69
